Requirement,Context (Keywords),Name of Doc,Sec/NotSec,Labeled by,Comments,Label,Labeled by,Comments,,,,,,
"Therefore, a maximum results limitation must be included in order to prevent VLER DAS from being overwhelmed.",AVAILABILITY,vler,1,Riaz,,Availability,Vasily,,,,,,,
1) MVI (Master Veteran Index) will be the only system used by the DAS (Data Access Service) for any identity management function.,ACCESS_CONTROL_IDENTITY,vler,1,Riaz,,Access control,Vasily,,,,,,,
"As the Business Owner, I want the Virtual Lifetime Electronic Record (VLER) Data Access Services (DAS) to log all requests or responses that it receives or sends in relation to storage of an exam result so that VLER DAS is in compliance with Department of Veterans Affairs (VA) system auditing requirements and can assist with troubleshooting.",ACCOUNTABILITY,vler,1,Riaz,,Accountability,Vasily,,,,,,,
"The VA requires “that system audit logs must record sufficient information to establish what events occurred, the sources, and outcomes of the events.",ACCOUNTABILITY,vler,1,Riaz,,Accountability,Vasily,,,,,,,
Audit logging must be sufficient in detail to facilitate reconstruction of events if a compromise or malfunction is suspected or has occurred.,ACCOUNTABILITY,vler,1,Riaz,,Accountability,Vasily,,,,,,,
All requests and responses for the store action must be logged in the audit log.,ACCOUNTABILITY,vler,1,Riaz,,Accountability,Vasily,,,,,,,
"The events and outcomes associated with the specified exam result will be recorded in VLER DAS audit logs, and can be used to aid in tracking the exam result through the system.",ACCOUNTABILITY,vler,1,Riaz,,Accountability,Vasily,,,,,,,
1) VLER DAS stores event descriptions in an audit log for a minimum of six (6) years.,"AVAILABILITY,ACCOUNTABILITY",vler,1,Riaz,,Accountability,Vasily,,,,,,,
"2) VLER DAS stores the following attributes, when available, in an audit log: a) Unique Identifier for the exam result; b) Creation Date (Date, Time, and Time Zone); c) Date Status Modified (Date, Time, and Time Zone); d) System ID (Fully Qualified Domain Name); e) Transaction Type (description of action, e.g., Store); f) Organization Name the document is received from or sent to; g) Event Description (e.g.,refer to audit logging events below ); h) Patient ID (EDIPI, if not available then ICN, if neither available then SSN) , Assigning Authority, Assigning Facility;",ACCOUNTABILITY,vler,1,Riaz,,Accountability,Vasily,,,,,,,
3) VLER DAS stores the event description information in an audit log for the following events: a) VLER DAS receives a request from a producing application to store an exam result; b) VLER DAS calls the VA Identity Management (IdM) for the Patient ID; c) VLER DAS sends a request to the Health Data Repository (HDR) to store an exam result; d) VLER DAS receives a response from HDR regarding storage of the exam result;,ACCOUNTABILITY,vler,1,Riaz,,Accountability,Vasily,,,,,,,
VLER DAS stores event descriptions in an audit log for a minimum of six (6) years.,"AVAILABILITY,ACCOUNTABILITY",vler,1,Riaz,,Accountability,Vasily,,,,,,,
"VLER DAS stores the ‘Unique Identifier’ for the exam result, when available, in an audit log.",ACCOUNTABILITY,vler,1,Riaz,,Accountability,Vasily,,,,,,,
"VLER DAS stores the ‘Date Status Modified’ (Date, Time, and Time Zone) , when available, in an audit log",ACCOUNTABILITY,vler,1,Riaz,,Accountability,Vasily,,,,,,,
"VLER DAS stores the ‘System ID’ (Fully Qualified Domain Name) , when available, in an audit log.",ACCOUNTABILITY,vler,1,Riaz,,Accountability,Vasily,,,,,,,
"VLER DAS stores the ‘Transaction Type’ (description of action, e.g., Store) , when available, in an audit log.",ACCOUNTABILITY,vler,1,Riaz,,Accountability,Vasily,,,,,,,
"VLER DAS stores the ‘Organization Name’ the document is received from or sent to, when available, in an audit log.",ACCOUNTABILITY,vler,1,Riaz,,Accountability,Vasily,,,,,,,
"VLER DAS stores the ‘Event Description’, when available, in an audit log.",ACCOUNTABILITY,vler,1,Riaz,,Accountability,Vasily,,,,,,,
"VLER DAS stores the ‘Status of Exam Result’, when available, in an audit log.",ACCOUNTABILITY,vler,1,Riaz,,Accountability,Vasily,,,,,,,
VLER DAS stores the event description information in an audit log for the following event: VLER DAS calls the VA Identity Management (IdM) for the Patient ID.,ACCOUNTABILITY,vler,1,Riaz,,Accountability,Vasily,,,,,,,
All requests and responses for the retrieve action must be logged in the audit log.,ACCOUNTABILITY,vler,1,Riaz,,Accountability,Vasily,,,,,,,
"2) VLER DAS stores the following attributes, when available, in an audit log: a) Unique Identifier for the exam result; b) Creation Date (Date, Time, and Time Zone); c) Date Status Modified (Date, Time, and Time Zone); d) System ID (Fully Qualified Domain Name); e) Transaction Type (description of action, e.g., Retrieve); f) Organization Name the document is received from or sent to; g) Event Description (e.g., refer to audit logging events below ); h) Patient ID (EDIPI, if not available then ICN, if neither available then SSN) , Assigning Authority and Assigning Facility.",ACCOUNTABILITY,vler,1,Riaz,,Accountability,Vasily,,,,,,,
3) VLER DAS stores the event description information in an audit log for the following events:,ACCOUNTABILITY,vler,1,Riaz,,Accountability,Vasily,,,,,,,
b) VLER DAS sends a request to the Health Data Repository (HDR) to retrieve a list (first pass) of exam results,ACCOUNTABILITY,vler,1,Riaz,,Accountability,Vasily,,,,,,,
"VLER DAS stores the ‘Creation Date’ (Date, Time, and Time Zone) , when available, in an audit log.",ACCOUNTABILITY,vler,1,Riaz,,Accountability,Vasily,,,,,,,
"VLER DAS stores the ‘Transaction Type’ (description of action, e.g., Retrieve) , when available, in an audit log.",ACCOUNTABILITY,vler,1,Riaz,,Accountability,Vasily,,,,,,,
"VLER DAS stores the ‘Patient ID’ (EDIPI, if not available then ICN, if neither available then SSN) , ‘Assigning Authority’ and ‘Assigning Facility’, when available, in an audit log.",ACCOUNTABILITY,vler,1,Riaz,,Accountability,Vasily,,,,,,,
"As the Business Owner, I want the Virtual Lifetime Electronic Record (VLER) Data Access Services (DAS) to log all requests or responses that it receives or sends in relation to the storage of an exam result status so that VLER DAS is in compliance with Department of Veterans Affairs (VA) system auditing requirements and can assist with troubleshooting.",ACCOUNTABILITY,vler,1,Riaz,,Accountability,Vasily,,,,,,,
All requests and responses for the store exam result status action must be logged in the audit log.,ACCOUNTABILITY,vler,1,Riaz,,Accountability,Vasily,,,,,,,
"2) VLER DAS stores the following attributes, when available, in an audit log: a) Unique Identifier for the exam result; b) Creation Date (Date, Time, and Time Zone); c) Date Status Modified (Date, Time, and Time Zone); d) System ID (Fully Qualified Domain Name); e) Transaction Type (description of action, e.g., Store Status); f) Organization Name the document is received from or sent to; g) Event Description (e.g.,refer to audit logging events below ); h) Patient ID (EDIPI, if not available then ICN, if neither available then SSN) , Assigning Authority and Assigning Facility.",ACCOUNTABILITY,vler,1,Riaz,,Accountability,Vasily,,,,,,,
"VLER DAS stores the ‘Transaction Type’ (description of action, e.g., Store Status) , when available, in an audit log.",ACCOUNTABILITY,vler,1,Riaz,,Accountability,Vasily,,,,,,,
"As the Business Owner, I want the Virtual Lifetime Electronic Record (VLER) Data Access Services (DAS) to log all notifications for exam results stored with a status of ‘Completed ’so that VLER DAS is in compliance with Department of Veterans Affairs (VA) system auditing requirements and can assist with troubleshooting.",ACCOUNTABILITY,vler,1,Riaz,,Accountability,Vasily,,,,,,,
All requests and responses for the notify of ‘Completed’ status action must be logged in the audit log.,ACCOUNTABILITY,vler,1,Riaz,,Accountability,Vasily,,,,,,,
"The events and outcomes associated with the specified notification will be recorded in VLER DAS audit logs, and can be used to aid in tracking the exam result through the system.",ACCOUNTABILITY,vler,1,Riaz,,Accountability,Vasily,,,,,,,
"2) VLER DAS stores the following attributes, when available, in an audit log: a) Unique Identifier for the exam result; b) Creation Date (Date, Time, and Time Zone); c) Date Status Modified (Date, Time, and Time Zone); d) System ID (Fully Qualified Domain Name); e) Transaction Type (description of action, e.g., Notify of Approval); f) Organization Name the notification is sent to; g) Event Description (e.g.,refer to audit logging event below ); h) Patient ID (EDIPI, if not available then ICN, if neither available then SSN) , Assigning Facility, and Assigning Authority;",ACCOUNTABILITY,vler,1,Riaz,,Accountability,Vasily,,,,,,,
"VLER DAS stores the ‘Transaction Type’ (description of action, e.g., Notify of Completed Status) , when available, in an audit log.",ACCOUNTABILITY,vler,1,Riaz,,Accountability,Vasily,,,,,,,
"VLER DAS stores the ‘Organization Name’ the notification is sent to, when available, in an audit log.",ACCOUNTABILITY,vler,1,Riaz,,Accountability,Vasily,,,,,,,
"VLER DAS stores the ‘Patient ID’ (EDIPI, if not available then ICN, if neither available then SSN) , ‘Assigning Facility’, and ‘Assigning Authority, when available, in an audit log.",ACCOUNTABILITY,vler,1,Riaz,,Accountability,Vasily,,,,,,,
Nurses need to ensure the patient's privacy and security of EHR data is protected.,TECHNICAL,nursing_ehr,1,Riaz,,Confidentiality,Vasily,,,,,,,
- Provides nurses with authorized access to patient electronic health record data based upon provider role,INTEGRITY,nursing_ehr,1,Riaz,,Confidentiality,Vasily,,,,,,,
- Captures and displays clinically relevant data using standardized coded clinical terminologies regardless of where the data are captured or viewed,AVAILABILITY,nursing_ehr,1,Riaz,,Availability,Vasily,,,,,,,
- Ensures data integrity during storage and transmission,INTEGRITY,nursing_ehr,1,Riaz,,Integrity,Vasily,,,,,,,
"Via a usable interface, nurses need immediate and easy access to accurate and critical information about the care provided to patients to support decision-making regarding safe, quality care",AVAILABILITY,nursing_ehr,1,Riaz,,Availability,Vasily,,,,,,,
"- Ensures unambiguous information will be captured, viewed, sent or received across the continuum of care in near real-time",AVAILABILITY,nursing_ehr,1,Riaz,,Availability,Vasily,,,,,,,
- Synchronizes information in the shared health record according to date and time and location (e.g. in chronological or reverse chronological order) to allow nurses easy access to the most recent results within a longitudinal health record,INTEGRITY,nursing_ehr,1,Riaz,,Integrity,Vasily,,,,,,,
